metric,category,n_human,n_llm,median_human,median_llm,mad_human,mad_llm,cliffs_delta,abs_delta,auc,p_value,magnitude,higher_in,q_value_fdr
flesch,complexidade_leiturabilidade,5391,5391,48.50713,25.22102,8.938870000000001,6.288979999999999,0.8112859492491471,0.8112859492491471,0.9056429746245735,0.0,large,human,0.0
syllables_per_content_word,complexidade_descritiva,5391,5391,2.71717,3.0531,0.1380300000000001,0.09084000000000003,-0.8080479357844805,0.8080479357844805,0.09597603210775973,0.0,large,llm,0.0
honore,complexidade_leiturabilidade,5391,5391,863.97832,1211.93346,134.61832000000004,126.26882,-0.7975628775412871,0.7975628775412871,0.10121856122935646,0.0,large,llm,0.0
content_word_diversity,complexidade_diversidade_lexical,5391,5391,0.80851,0.89773,0.046009999999999995,0.022909999999999986,-0.7716631052509901,0.7716631052509901,0.11416844737450493,0.0,large,llm,0.0
idade_aquisicao_mean,complexidade_psicolinguistica,5391,5391,4.73681,5.34235,0.30552000000000046,0.18081000000000014,-0.7474869404722815,0.7474869404722815,0.12625652976385926,0.0,large,llm,0.0
punctuation_diversity,complexidade_diversidade_lexical,5391,5391,0.23529,0.10526,0.07843,0.028340000000000004,0.7251501322253633,0.7251501322253633,0.8625750661126816,0.0,large,human,0.0
words,complexidade_descritiva,5391,5391,147.0,322.0,53.0,69.0,-0.7187961510078784,0.7187961510078784,0.1406019244960608,0.0,large,llm,0.0
lsa_span_mean,coesao_semantica_lsa,5391,5391,0.83073,0.89878,0.046150000000000024,0.015649999999999942,-0.6986675546722295,0.6986675546722295,0.15066622266388524,0.0,large,llm,0.0
idade_aquisicao_55_7_ratio,complexidade_psicolinguistica,5391,5391,0.28947,0.40845,0.06608999999999998,0.04372000000000004,-0.6855548835643652,0.6855548835643652,0.1572225582178174,0.0,large,llm,0.0
lsa_givenness_mean,coesao_semantica_lsa,5391,5391,0.80025,0.8765,0.051039999999999974,0.020030000000000103,-0.6854140510020325,0.6854140510020325,0.15729297449898377,0.0,large,llm,0.0
imageabilidade_25_4_ratio,complexidade_psicolinguistica,5391,5391,0.28125,0.42636,0.07333,0.06047999999999998,-0.6815917871321842,0.6815917871321842,0.15920410643390792,0.0,large,llm,0.0
ttr,complexidade_diversidade_lexical,5391,5391,0.73049,0.78131,0.032850000000000046,0.016730000000000023,-0.670764608642894,0.670764608642894,0.164617695678553,0.0,large,llm,0.0
idade_aquisicao_1_25_ratio,complexidade_psicolinguistica,5391,5391,0.10909,0.04839,0.04242000000000001,0.016740000000000005,0.6673448513242717,0.6673448513242717,0.8336724256621358,0.0,large,human,0.0
imageabilidade_4_55_ratio,complexidade_psicolinguistica,5391,5391,0.66038,0.54545,0.06316,0.05087999999999998,0.6574472778524607,0.6574472778524607,0.8287236389262304,0.0,large,human,0.0
short_sentence_ratio,complexidade_simplicidade,5391,5391,0.33333,0.09091,0.15686000000000003,0.09091,0.6365824159001994,0.6365824159001994,0.8182912079500997,0.0,large,human,0.0
imageabilidade_mean,complexidade_psicolinguistica,5391,5391,4.36381,4.14951,0.13105999999999973,0.09440999999999988,0.6264524841842074,0.6264524841842074,0.8132262420921037,0.0,large,human,0.0
lsa_all_mean,coesao_semantica_lsa,5391,5391,0.71084,0.80812,0.07391000000000003,0.031789999999999985,-0.6028468409584032,0.6028468409584032,0.19857657952079838,0.0,large,llm,0.0
sentences_per_paragraph,complexidade_descritiva,5391,5391,1.0,2.5,0.0,0.5,-0.5886902265470515,0.5886902265470515,0.20565488672647425,0.0,large,llm,0.0
concretude_mean,complexidade_psicolinguistica,5391,5391,4.18893,3.9858,0.1422699999999999,0.08982999999999963,0.583054446666867,0.583054446666867,0.7915272233334335,0.0,large,human,0.0
familiaridade_55_7_ratio,complexidade_psicolinguistica,5391,5391,0.23077,0.15493,0.05494000000000002,0.03025999999999998,0.5817613539414761,0.5817613539414761,0.790880676970738,0.0,large,human,0.0
function_word_diversity,complexidade_diversidade_lexical,5391,5391,0.456,0.37,0.07046000000000002,0.030000000000000027,0.581587764819324,0.581587764819324,0.790793882409662,0.0,large,human,0.0
positive_words,semantica_palavras,5391,5391,0.33673,0.45091,0.07518999999999998,0.05986999999999998,-0.5813744686908362,0.5813744686908362,0.2093127656545819,0.0,large,llm,0.0
lsa_adj_mean,coesao_semantica_lsa,5391,5391,0.73377,0.82151,0.07395999999999991,0.030100000000000016,-0.5808567292416743,0.5808567292416743,0.20957163537916285,0.0,large,llm,0.0
