rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"VERB(*, VERB/conj:mas)",0.006444303738637346,0.028556139670313813,0.026469364182226954,0.04183271742055156,-0.02211183593167647,0.02211183593167647,357,1833,2190,6.630757800891531,34.00742115027829,10599119.5,3.1135720951248015e-260,-0.6316889464980704,True,True,llm
"VERB(*, NOUN/obj)",0.010516691165772139,0.03132425046039524,0.03189491236114023,0.03902543885490775,-0.0208075592946231,0.0208075592946231,637,2248,2885,11.831352154531947,41.70686456400742,10326354.0,1.8271600740685133e-242,-0.5838431274158358,True,True,llm
"NOUN(*, PROPN/nmod:em)",0.010757968067688828,0.030352574530602663,0.03237568575494242,0.03906644331883703,-0.019594606462913833,0.019594606462913833,605,2158,2763,11.236998514115898,40.037105751391465,10601546.0,1.7922621359611794e-218,-0.5461549698429838,True,True,llm
"NOUN(*, NOUN/nmod:sobre)",0.007387341250182149,0.0266794113887042,0.029246954324258643,0.04192491365483649,-0.019292070138522053,0.019292070138522053,370,1644,2014,6.872213967310549,30.500927643784788,11172503.0,5.348219920571522e-203,-0.5337246373707064,True,True,llm
"ADJ(*, ADJ/conj:e)",0.010512687331524015,0.02825795676818043,0.031220690884564754,0.03775444025328505,-0.017745269436656413,0.017745269436656413,646,2035,2681,11.99851411589896,37.755102040816325,10908878.0,7.583901068673531e-190,-0.5122480060075777,True,True,llm
"NOUN(*, NOUN/nmod:de, NOUN/conj:e)",0.00790926856016844,0.024772726869107448,0.029333774255552413,0.039650399638089306,-0.016863458308939008,0.016863458308939008,420,1589,2009,7.800891530460624,29.48051948051948,11454196.0,7.573442020721122e-171,-0.48353075496491915,True,True,llm
"ADV(*, PRON/obl:de)",0.003309204150960024,0.01969622227905553,0.019832526021363237,0.04178727770733445,-0.016387018128095506,0.016387018128095506,170,1028,1198,3.1575037147102525,19.072356215213357,12192521.0,1.7320153358015245e-152,-0.5010236326203551,True,True,llm
"NOUN(*, NOUN/conj:e)",0.02365222280115961,0.039691068018297526,0.03311496259114374,0.02246074529465944,-0.016038845217137915,0.016038845217137915,2120,4332,6452,39.37592867756315,80.37105751391465,9889060.0,1.6429973181429468e-192,-0.566866493794989,True,True,llm
"VERB(*, NOUN/obl:como)",0.006819407699027788,0.022784298365096753,0.028846934487929334,0.04111769059743145,-0.015964890666068966,0.015964890666068966,342,1344,1686,6.352154531946508,24.935064935064936,11863915.0,3.689491684146408e-148,-0.44950928323326883,True,True,llm
"PROPN(*, PROPN/conj:e)",0.01417435949702322,0.029982447841597384,0.034901107197554966,0.03635873225663299,-0.015808088344574166,0.015808088344574166,861,2308,3169,15.99182763744428,42.82003710575139,11029303.0,5.653718368837471e-158,-0.44358175299241126,True,True,llm
"NOUN(*, ADJ/amod)",0.007918633417522003,0.023551174241717297,0.03129977517128119,0.039961660304593395,-0.015632540824195296,0.015632540824195296,408,1467,1875,7.578008915304606,27.217068645640076,11720439.0,8.583821925704058e-151,-0.43553213760081083,True,True,llm
"NOUN(*, VERB/acl:para)",0.008498901448154962,0.023991600381902387,0.031204195923944935,0.040861162864972565,-0.015492698933747424,0.015492698933747424,443,1459,1902,8.228083209509657,27.068645640074212,11845964.5,3.923272389389673e-136,-0.4261532991265564,True,True,llm
"PROPN(*, PRON/ref)",0.007470597579655581,0.022723057508359106,0.028667242772293954,0.03968458652220562,-0.015252459928703525,0.015252459928703525,387,1402,1789,7.187964338781575,26.01113172541744,11854119.0,3.590581429199695e-142,-0.4406057057930381,True,True,llm
"VERB(*, NOUN/obl:com)",0.016347535618180614,0.0313198588996325,0.03853565827042606,0.0361953757626759,-0.014972323281451885,0.014972323281451885,1019,2452,3471,18.926448736998513,45.49165120593692,11018935.0,9.850951505959213e-150,-0.40050260828560436,True,True,llm
"PROPN(ADP/case, *)",0.008333387506629283,0.022902466086082953,0.029626354733155842,0.038446861621134275,-0.01456907857945367,0.01456907857945367,441,1480,1921,8.190936106983655,27.458256029684602,11830705.0,1.3916197972820722e-136,-0.42449278272448304,True,True,llm
"VERB(*, VERB/ccomp)",0.010548930216114399,0.024957051704597173,0.033274797612768976,0.03984497115064301,-0.014408121488482774,0.014408121488482774,562,1588,2150,10.438335809806835,29.461966604823747,11876364.0,7.76833353555343e-121,-0.39251509223190967,True,True,llm
"NOUN(*, NOUN/nmod:de, NOUN/nmod:de)",0.015474516879099369,0.029566010087146863,0.03576422167854319,0.035815102761865864,-0.014091493208047494,0.014091493208047494,1000,2307,3307,18.573551263001487,42.80148423005566,11284820.0,3.835397830524125e-132,-0.39373072484530436,True,True,llm
NOUN(*),0.047763650975440566,0.033949345572075414,0.02770576653138326,0.009385958574810529,0.013814305403365153,0.013814305403365153,5377,5389,10766,99.86998514115899,99.98144712430427,21300521.5,0.0,0.6678544652614146,True,True,human
"NOUN(*, NOUN/nmod:em)",0.02408486077945934,0.037696757764224396,0.039233180629540884,0.02771829910485843,-0.013611896984765056,0.013611896984765056,1851,3728,5579,34.37964338781575,69.16512059369202,10647090.0,2.833633073239678e-142,-0.40073605127391454,True,True,llm
"VERB(*, VERB/advcl:enquanto)",0.0010937884866845764,0.01461896196824186,0.013283505481787104,0.041550470721848164,-0.013525173481557283,0.013525173481557283,42,639,681,0.7800891530460624,11.855287569573283,12904992.0,7.398168291823987e-123,-0.43848086163944877,True,True,llm
"NOUN(ADP/case, *, NOUN/nmod:de)",0.008760917478645571,0.021510448890230207,0.029935282328381732,0.03832539325623745,-0.012749531411584636,0.012749531411584636,480,1350,1830,8.915304606240714,25.04638218923933,12236809.0,8.807862698599197e-103,-0.37076404041569067,True,True,llm
"NOUN(*, NOUN/nmod:sem)",0.0023738851031906466,0.014963594830171165,0.019366526168250273,0.03979332069159832,-0.012589709726980518,0.012589709726980518,94,703,797,1.7459138187221397,13.042671614100186,12878834.0,7.725932925435033e-110,-0.4023102405120386,True,True,llm
"NOUN(*, VERB/acl:de_que)",0.00537112982984023,0.0179517847271096,0.027598141954157752,0.04052720688837202,-0.01258065489726937,0.01258065489726937,234,928,1162,4.346210995542347,17.217068645640076,12667079.0,9.140330644924907e-100,-0.36286151097012,True,True,llm
"NOUN(ADP/case, *)",0.019863841984001034,0.0323214905906707,0.0352157554873955,0.03126613472958339,-0.012457648606669668,0.012457648606669668,1486,2934,4420,27.60029717682021,54.43413729128015,11285336.0,3.485771765487956e-111,-0.3741085704660335,True,True,llm
"VERB(*, NOUN/obl:a)",0.02006758385840473,0.032500290856532076,0.038933908861512795,0.0340021937491712,-0.012432706998127346,0.012432706998127346,1363,2744,4107,25.315750371471026,50.90909090909091,11364015.0,2.956320265292714e-110,-0.34014382921608916,True,True,llm
"VERB(*, NOUN/obl:após)",0.0026856093420626536,0.014051632429314393,0.02163934108861853,0.039905004543405946,-0.01136602308725174,0.01136602308725174,94,631,725,1.7459138187221397,11.706864564007422,13076985.0,7.351242315238061e-93,-0.35409456260044414,True,True,llm
"NOUN(*, NOUN/nmod:de)",0.0456662890046394,0.03458222698554901,0.027154954649468634,0.009697622108809733,0.011084062019090388,0.011084062019090388,5155,5376,10531,95.74665676077267,99.74025974025975,20238714.0,7.057423081200497e-276,0.5436253241934254,True,True,human
ADP(*),0.026780752091955386,0.037860061486500673,0.030630309140173482,0.020014415954886195,-0.011079309394545288,0.011079309394545288,2630,4441,7071,48.84843982169391,82.39332096474953,11429610.0,1.5736926370565972e-84,-0.4282240188797744,True,True,llm
"ADV(*, NOUN/obl:de)",0.01862301945252294,0.029687711725466276,0.03760535706315948,0.034849435528591,-0.011064692272943336,0.011064692272943336,1230,2396,3626,22.845468053491828,44.452690166975884,11806794.0,3.9470056407408527e-88,-0.30520263795303104,True,True,llm
"NOUN(*, NOUN/nmod:a)",0.01761670696051791,0.028646370744589335,0.038979156165885154,0.036725444183079034,-0.011029663784071424,0.011029663784071424,1067,2163,3230,19.817979197622584,40.12987012987013,11946406.5,1.653550868692616e-85,-0.29125784970269875,True,True,llm
"VERB(NOUN/obl:segundo, *)",0.0019117376128274773,0.012788059081732486,0.018447437610711825,0.04176611576192842,-0.01087632146890501,0.01087632146890501,66,492,558,1.2258543833580982,9.128014842300557,13365495.0,4.234022321943924e-76,-0.3368786933204264,True,True,llm
ADJ(*),0.022708282377566925,0.03341222460985346,0.03436242086928047,0.028587937708677163,-0.010703942232286531,0.010703942232286531,1878,3272,5150,34.88112927191679,60.70500927643785,11573807.0,7.191333614063082e-86,-0.3386538340510892,True,True,llm
"NOUN(*, NOUN/nmod:contra)",0.006931588129123774,0.017154438198307996,0.030407378460768915,0.03924651501925585,-0.010222850069184223,0.010222850069184223,300,913,1213,5.5720653789004455,16.93877551020408,12907487.0,3.913635949350473e-73,-0.29119743667731607,True,True,llm
"ADJ(*, NOUN/obl:por)",0.002453613814069381,0.012653790967290163,0.020403289469319554,0.03816017386186788,-0.010200177153220781,0.010200177153220781,89,560,649,1.6530460624071321,10.38961038961039,13249902.0,6.6490617901487766e-80,-0.3333593191444807,True,True,llm
"NOUN(*, NOUN/nmod:para)",0.012958199199317276,0.023126318563327364,0.038440601165463495,0.03789241541808096,-0.010168119364010087,0.010168119364010087,684,1531,2215,12.704309063893016,28.404452690166977,12389296.0,3.018546350950772e-77,-0.2664078435271162,True,True,llm
"VERB(NOUN/nsubj, *, NOUN/obj)",0.0034534513540033125,0.013485165829730637,0.022195438961073087,0.03786133940481661,-0.010031714475727324,0.010031714475727324,146,643,789,2.711738484398217,11.929499072356215,13179939.0,2.432054055530652e-74,-0.3232575340474263,True,True,llm
"ADJ(*, VERB/conj:e)",0.004920860359817769,0.014832224852453016,0.02605711734492173,0.038662537847386276,-0.009911364492635247,0.009911364492635247,208,723,931,3.863298662704309,13.413729128014843,13141720.0,9.425458354582012e-68,-0.30063679293893836,True,True,llm
"VERB(*, VERB/advcl:a_o)",0.002993255478146105,0.01218782373677527,0.023486050960381987,0.03821035167478571,-0.009194568258629165,0.009194568258629165,102,530,632,1.8945022288261515,9.833024118738404,13367447.0,1.213231089516755e-67,-0.28991638848142653,True,True,llm
"VERB(*, VERB/advcl:para)",0.01858092231950897,0.027682109882545904,0.04168167293001873,0.03716340209931718,-0.009101187563036933,0.009101187563036933,1086,2049,3135,20.170876671619613,38.01484230055659,12292712.0,1.0293958741749757e-65,-0.23048441219100435,True,True,llm
"NOUN(*, ADV/nmod:de)",0.009412309548566648,0.00042035949325826066,0.0463676820554036,0.008120448832845066,0.008991950055308387,0.008991950055308387,236,15,251,4.383358098068351,0.2782931354359926,15106658.0,1.9020140806594768e-45,0.2701428326875796,True,True,human
"NOUN(*, NOUN/nmod:de, PRON/ref)",0.011243481294658311,0.0201222631125548,0.03514992249665301,0.03850848043543218,-0.008878781817896489,0.008878781817896489,573,1221,1794,10.642644873699851,22.653061224489797,12855326.5,3.237428759422655e-56,-0.24082972742892736,True,True,llm
"ADJ(*, NOUN/obl:para)",0.003434665176828686,0.01224501733344848,0.023986013482857626,0.03775652131794193,-0.008810352156619794,0.008810352156619794,127,546,673,2.3588410104011888,10.12987012987013,13391218.0,2.5533158013133454e-61,-0.2785462638724671,True,True,llm
