file,subset,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,words_before_main_verb,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,apposition_per_clause,clauses_per_sentence,prepositions_per_clause,adjunct_per_clause,prepositions_per_sentence,relative_clauses,aux_plus_PCP_per_sentence,coordinate_conjunctions_per_clauses,ratio_coordinate_conjunctions,first_person_possessive_pronouns,first_person_pronouns,gerund_verbs,infinitive_verbs,inflected_verbs,non-inflected_verbs,participle_verbs,passive_ratio,second_person_possessive_pronouns,second_person_pronouns,sentences_with_five_clauses,sentences_with_four_clauses,sentences_with_one_clause,sentences_with_seven_more_clauses,sentences_with_six_clauses,sentences_with_three_clauses,sentences_with_two_clauses,sentences_with_zero_clause,simple_word_ratio,ratio_subordinate_conjunctions,third_person_possessive_pronouns,third_person_pronouns,negative_words,positive_words,adjective_diversity_ratio,adjectives_max,adjectives_min,adjectives_standard_deviation,adverbs_diversity_ratio,adverbs_max,adverbs_min,adverbs_standard_deviation,concretude_mean,concretude_std,concretude_1_25_ratio,concretude_25_4_ratio,concretude_4_55_ratio,concretude_55_7_ratio,content_word_diversity,content_word_max,content_word_min,content_word_standard_deviation,content_words_ambiguity,dalechall_adapted,verbal_time_moods_diversity,easy_conjunctions_ratio,familiaridade_mean,familiaridade_std,familiaridade_1_25_ratio,familiaridade_25_4_ratio,familiaridade_4_55_ratio,familiaridade_55_7_ratio,function_word_diversity,gunning_fox,hard_conjunctions_ratio,idade_aquisicao_mean,idade_aquisicao_std,idade_aquisicao_1_25_ratio,idade_aquisicao_25_4_ratio,idade_aquisicao_4_55_ratio,idade_aquisicao_55_7_ratio,imageabilidade_mean,imageabilidade_std,imageabilidade_1_25_ratio,imageabilidade_25_4_ratio,imageabilidade_4_55_ratio,imageabilidade_55_7_ratio,indefinite_pronouns_diversity,medium_long_sentence_ratio,max_noun_phrase,mean_noun_phrase,medium_short_sentence_ratio,min_noun_phrase,named_entity_ratio_sentence,named_entity_ratio_text,noun_diversity,nouns_max,nouns_min,nouns_standard_deviation,subtitles,postponed_subject_ratio,preposition_diversity,pronoun_diversity,pronouns_max,pronouns_min,pronouns_standard_deviation,dialog_pronoun_ratio,punctuation_diversity,punctuation_ratio,abstract_nouns_ratio,adverbs_before_main_verb_ratio,subjunctive_future_ratio,indefinite_pronoun_ratio,indicative_condition_ratio,indicative_future_ratio,indicative_imperfect_ratio,indicative_pluperfect_ratio,indicative_present_ratio,indicative_preterite_perfect_ratio,infinite_subordinate_clauses,oblique_pronouns_ratio,relative_pronouns_ratio,subjunctive_imperfect_ratio,subjunctive_present_ratio,subordinate_clauses,temporal_adjunct_ratio,demonstrative_pronoun_ratio,coreference_pronoun_ratio,non_svo_ratio,relative_pronouns_diversity_ratio,sentence_length_max,sentence_length_min,sentence_length_standard_deviation,short_sentence_ratio,std_noun_phrase,verb_diversity,verbs_max,verbs_min,verbs_standard_deviation,long_sentence_ratio,ratio_function_to_content_words
1.txt,fake_br_human,0.03279,0.06557,0.56831,67.1961,0.43169,1.0,2.5,14.07692,0.29508,13,13,183,0.14208,0.17486,0.03279,0.0,0.01093,0.0,0.02186,788429.83654,4.24264,4.56869,2625.61538,2.02423,2.02423,2.44585,2.44585,5.29231,5.4886,0.18519,10.81692,963.63658,0.0256,0.72976,0.08197,0.01093,0.00546,0.0,0.06011,0.0,0.06557,0.0,0.00546,5.66667,1.44444,2.61905,8.82143,2.37506,7.03846,29.30769,0.75119,1.31646,4.71429,0.16667,0.75,0.91667,0.83333,1.16667,0.91026,0.91667,0.82803,0.03812,0.83027,0,0.82803,0.03812,0.88787,0.03588,0.91154,0.02992,0.0,1.78571,1.04,0.88,1.85714,0.2,0.0,0.08,0.28571,0.28571,0.25,0.03333,0.2,0.7,0.3,0.06667,0.0,0.0,0.0,0.0,0.07143,0.21429,0.0,0.0,0.14286,0.42857,0.14286,0.58654,0.71429,0.71429,0.75,0.33654,0.26923,1.0,0.1,0.0,0.03686,0.75,0.21429,0.0,0.06506,3.96676,0.79749,0.0,0.57534,0.36986,0.05479,0.744,0.6875,0.38095,0.06703,4.75294,11.32373,6,0.09836,4.88406,0.91205,0.0,0.23288,0.41096,0.35616,0.49367,5.75099,0.01639,4.37686,1.91749,0.23288,0.21918,0.17808,0.30137,4.26064,0.61415,0.0,0.34247,0.64384,0.0137,1.0,0.15385,14,4.34103,0.07692,1,0.073,0.07778,0.64815,0.5,0.0,0.11619,0.0,0.15789,0.43333,0.69231,0.33333,0.0,0.09692,0.25,0.22222,0.14218,0.05464,0.36,0.0,0.11538,0.04545,0.0,0.04545,0.04545,0.54545,0.27273,0.08,0.11538,0.19231,0.04545,0.0,0.48,0.07692,0.08333,0.16667,0.48,0.6,27,3,6.67327,0.38462,3.44489,0.84375,0.33333,0.0,0.0943,0.38462,0.75962
10.txt,fake_br_human,0.03571,0.05952,0.61111,44.96799,0.38889,1.0,2.68182,22.90909,0.29365,11,11,252,0.0754,0.22222,0.04762,0.02381,0.0,0.00397,0.01984,435003.5974,4.09467,4.32781,197.72727,0.84764,0.84764,1.06427,1.06427,5.11254,5.28169,0.58333,10.94977,1097.7831,0.02124,0.74353,0.08333,0.01587,0.03968,0.0,0.03175,0.00794,0.03968,0.0,0.00794,2.75,2.69231,2.28846,10.18367,2.93449,7.27273,54.45455,0.66218,1.57143,4.69231,0.0,1.5,0.9,0.67273,1.3,1.21818,1.1,0.89027,0.0581,0.86477,0,0.89027,0.0581,0.91686,0.06629,0.92517,0.06876,0.0,3.38462,0.79545,0.63636,2.69231,0.11364,0.23077,0.18182,0.44444,0.0,0.0,0.07273,0.23636,0.61818,0.38182,0.07273,0.04545,0.0,0.0,0.07692,0.46154,0.15385,0.0,0.07692,0.07692,0.15385,0.0,0.58442,0.55556,1.0,1.0,0.35714,0.4026,1.0,0.10256,0.0,0.0352,0.73333,0.25,0.0,0.07242,3.7539,0.6151,0.00952,0.68571,0.28571,0.01905,0.84091,0.65,0.39286,0.07709,5.53279,11.47728,6,0.09921,4.95207,0.8434,0.0,0.14286,0.48571,0.37143,0.40816,9.29221,0.03175,4.61377,1.94453,0.2,0.17143,0.2381,0.31429,4.07091,0.55527,0.0,0.46667,0.51429,0.01905,1.0,0.09091,29,4.83117,0.0,1,0.06137,0.05556,0.77027,0.64706,0.2,0.1173,0.0,0.05556,0.35714,0.63158,0.25,0.0,0.07363,0.0,0.19355,0.14947,0.01984,0.29545,0.02857,0.15789,0.14286,0.02857,0.0,0.0,0.54286,0.05714,0.15909,0.05263,0.26316,0.0,0.2,0.5,0.06061,0.3,0.0,0.34091,0.4,39,4,10.11259,0.09091,5.31221,0.85714,0.33333,0.05882,0.07691,0.81818,0.63636
100.txt,fake_br_human,0.0293,0.0293,0.6044,38.76491,0.3956,1.0,3.0,17.0625,0.38095,16,16,273,0.06227,0.16484,0.02198,0.01832,0.0,0.00366,0.0,280568.79394,3.87505,4.33028,783.375,1.50081,1.50081,1.64744,1.64744,5.06325,5.36401,0.81818,11.22442,1141.51621,0.02322,0.74264,0.07326,0.0,0.03663,0.00366,0.04029,0.00366,0.0293,0.0,0.00733,5.85714,2.16667,1.63736,11.16129,2.76623,7.0625,28.0,0.70776,1.52778,5.5,0.33333,2.33333,0.33333,0.50833,0.46667,0.60833,0.33333,0.77237,0.0882,0.76823,0,0.77237,0.0882,0.85352,0.04809,0.892,0.05708,0.02703,2.3125,1.48649,0.54054,3.4375,0.18919,0.375,0.16216,0.75,0.0,0.0,0.04444,0.08889,0.6,0.4,0.26667,0.16216,0.0,0.0,0.0625,0.0625,0.3125,0.0,0.0,0.3125,0.25,0.0,0.61212,0.25,1.0,1.0,0.24242,0.26061,1.0,0.17647,0.0,0.05076,1.0,0.14286,0.0,0.04263,4.24063,0.86207,0.00813,0.43089,0.46341,0.09756,0.85803,0.78571,0.42105,0.09778,4.06667,11.59698,6,0.06593,4.6948,0.85404,0.0,0.20325,0.55285,0.2439,0.32333,6.98764,0.01465,4.79199,1.91419,0.13821,0.21138,0.22764,0.30894,4.40325,0.73132,0.0,0.31707,0.60976,0.07317,0,0.0625,15,5.52083,0.1875,1,0.1197,0.09756,0.768,0.66667,0.25,0.12388,0.0,0.04167,0.31579,0.52941,0.2,0.0,0.05985,0.0,0.08,0.0906,0.03297,0.16216,0.0,0.0,0.0,0.03571,0.25,0.03571,0.17857,0.46429,0.18919,0.11765,0.41176,0.0,0.03571,0.43243,0.0,0.0,0.33333,0.21622,0.71429,26,6,5.48257,0.125,3.98491,0.88889,0.28571,0.0,0.06959,0.625,0.65455
1000.txt,fake_br_human,0.06239,0.02773,0.58406,20.80975,0.41594,1.0,3.16914,27.47619,0.35009,21,21,577,0.06066,0.14385,0.03813,0.02946,0.00173,0.00173,0.00867,220491.75074,4.39092,4.63056,1112.3,1.73525,1.6557,2.2856,2.2856,5.41456,5.57201,0.82667,11.83826,1033.75729,0.00209,0.74864,0.08666,0.00173,0.03986,0.00173,0.04159,0.00693,0.0364,0.0,0.00347,2.6,1.63636,3.03911,7.48438,3.07669,7.83333,66.38095,0.52101,1.40417,0,0.0,0.0,1.3,0.71905,1.7,1.04286,1.25,0.79211,0.26616,0.76721,0,0.79211,0.26616,0.86418,0.20054,0.88033,0.20468,0,0,0,0,0,0,-0.0,0,0,0,0.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.58457,0,0,0.0,0.23145,0.74481,0.88889,0,0,0,0.75,0,0,0,3.86272,0.69249,0.01515,0.57576,0.39015,0.01894,0.86941,0.71429,0.0,0.13138,3.91696,12.36069,0,0.07279,4.66076,0.75995,0.01136,0.17803,0.66667,0.14394,0.39404,11.15408,0.026,5.77785,1.45162,0.0303,0.0947,0.24621,0.45455,3.92231,0.58283,0.0,0.60227,0.38636,0.01136,1.0,0.09524,33,6.99023,0.04762,1,0,0.0,0.78777,0,0,0,0.0,0,0.25077,0.65714,0,0,0,1.0,0.1,0.08648,0.07626,0,0,0.17143,0,0,0,0,0,0,0,0.02857,0,0,0,0,0,0.55,0.0,0,0,61,0,13.00044,0.04762,6.12631,0.84337,0,0,0,0.80952,0.71217
1001.txt,fake_br_human,0.05405,0.05405,0.59459,43.08497,0.40541,1.0,2.63636,27.75,0.30631,4,4,111,0.10811,0.18018,0.07207,0.03604,0.0,0.0,0.03604,308463.93939,4.48162,4.50633,314.0,1.51925,1.51925,1.46,1.46,5.40883,5.43249,1.10526,10.02271,675.84585,0.03583,0.71167,0.0991,0.0,0.05405,0.0,0.05405,0.00901,0.05405,0.0,0.0,2.0,1.0,2.25806,8.73684,2.94008,7.75,83.75,0.61206,1.46667,0,0.66667,2.66667,2.0,2.16667,2.0,2.33333,2.0,0.80619,0.04354,0.81659,0,0.80619,0.04354,0.8463,0.05743,0.84745,0.05905,0,0,0,0,0,0,-0.0,0,0,0,0.25,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.65152,0,0,0.75,0.31818,0.5303,0.83333,0.11111,0.01754,0.03557,0.5,0.07018,0.0,0.03039,4.21337,0.84345,0.01961,0.39216,0.4902,0.09804,0.80303,0.5625,0.45,0.04235,4.2931,11.41425,0,0.07207,4.80504,0.95822,0.0,0.21569,0.4902,0.29412,0.51111,11.21171,0.02703,4.51887,1.91499,0.23529,0.19608,0.17647,0.31373,4.51907,0.65139,0.0,0.17647,0.78431,0.03922,1.0,0.25,17,5.08333,0.0,1,0,0.0,0.76471,0.46667,0.27778,0.08027,0.0,0,0.63636,0.66667,0.14035,0.0,0.05259,0.25,0.38462,0.10938,0.00901,0,0,0.08333,0,0,0,0,0,0,0,0.16667,0,0,0,0,0,0.66667,0.66667,0,0,57,15,17.02021,0.0,3.48345,0.95,0.22807,0.06667,0.06361,0.75,0.68182
1002.txt,fake_br_human,0.03333,0.04444,0.66667,22.405,0.33333,1.0,3.2,12.85714,0.4,7,7,90,0.04444,0.18889,0.04444,0.03333,0.0,0.0,0.01111,627511.01667,3.83223,4.4647,716.5,1.8865,1.8865,2.5575,2.5575,4.87463,5.29956,0.375,9.52653,806.12504,0.01111,0.73333,0.07778,0.02222,0.03333,0.0,0.02222,0.02222,0.02222,0.0,0.0,5.33333,6.25,2.30769,8.8,2.18938,5.71429,23.42857,0.6918,2.0,3.66667,0.66667,1.66667,0.16667,0.52381,0.33333,0.7619,0.33333,0.48534,0.34511,0.49789,0,0.48534,0.34511,0.63071,0.29254,0.65988,0.30952,0.0,1.83333,1.27273,1.18182,2.33333,0.09091,0.33333,0.27273,1.0,0.0,0.0,0.07143,0.07143,0.57143,0.42857,0.28571,0.18182,0.0,0.0,0.0,0.16667,0.5,0.0,0.0,0.0,0.33333,0.0,0.58333,0.0,1.0,1.0,0.15,0.51667,1.0,0,0,0,0.75,0,0,0,4.33888,0.98429,0.0,0.41026,0.41026,0.17949,0.78333,0.75,0.0,0.22692,4.39535,10.9411,4,0.04444,4.79412,0.78821,0.02564,0.12821,0.66667,0.17949,0.63333,5.32508,0.02222,4.85498,1.56291,0.10256,0.17949,0.38462,0.28205,4.39496,0.74957,0.0,0.30769,0.5641,0.12821,0,0.28571,8,3.83333,0.0,1,0.16123,0.13793,0.75,0,0,0,0.0,0.0,0.64286,1.0,0,0,0,0.0,0.36364,0.13592,0.02222,0.27273,0.0,0.0,0.0,0.44444,0.0,0.11111,0.11111,0.33333,0.18182,0.0,0.25,0.0,0.0,0.27273,0.07692,0.0,0.66667,0.27273,1.0,20,0,6.46813,0.28571,2.17428,0.82353,0,0,0,0.42857,0.5
1003.txt,fake_br_human,0.05263,0.05263,0.71579,29.34842,0.28421,1.0,2.89706,13.57143,0.41053,7,7,95,0.02105,0.2,0.04211,0.01053,0.0,0.01053,0.01053,769037.14706,3.99416,4.5821,1145.71429,1.94086,1.94086,2.42257,2.42257,4.81802,5.24887,0.57895,9.24308,1692.05242,0.0,0.81053,0.05263,0.01053,0.01053,0.0,0.01053,0.01053,0.02105,0.0,0.02105,1.6,3.4,2.55172,13.07143,2.51081,6.57143,21.28571,0.68475,2.51852,2.85714,0.0,0.0,0.0,0.61905,0.0,0.71429,0.0,0.67794,0.05485,0.691,0,0.67794,0.05485,0.76413,0.08653,0.77907,0.08915,0.0,2.14286,0.93333,0.86667,2.0,0.06667,0.28571,0.13333,0.66667,0,0,0.0,0.23529,0.52941,0.47059,0.23529,0.13333,0,0,0.14286,0.0,0.42857,0.0,0.0,0.14286,0.28571,0.0,0.60294,0.33333,0,0,0.08824,0.36765,1.0,0.11765,0.0,0.04804,1.0,0.25,0.0,0.08735,4.43687,0.82124,0.0,0.34694,0.4898,0.16327,0.86765,0.9,0.51852,0.13341,5.32075,10.95806,4,0.03158,4.83787,0.85731,0.02041,0.20408,0.4898,0.28571,0.7037,5.60541,0.02105,4.65917,1.55311,0.14286,0.18367,0.32653,0.30612,4.4955,0.64325,0.0,0.20408,0.69388,0.10204,1.0,0.14286,10,4.2619,0.0,1,0.11954,0.08989,0.76923,0.77778,0.25,0.16564,0.0,0.0,0.73333,1.0,0.06667,0.0,0.02842,0,0.36364,0.13208,0.01053,0.26667,0.0,0.5,0.0,0.4,0.0,0.1,0.2,0.3,0.26667,0.0,0.5,0.0,0.0,0.4,0.46154,0.16667,0.0,0.26667,1.0,25,4,6.54342,0.42857,2.49687,1.0,0.25,0.06667,0.05773,0.42857,0.39706
1004.txt,fake_br_human,0.09615,0.05769,0.67308,29.24788,0.32692,1.0,2.78571,26.0,0.37019,8,8,208,0.04808,0.14904,0.05769,0.02885,0.0,0.0,0.01923,312471.19286,4.1473,4.64673,1066.375,1.77913,1.77913,2.0185,1.60962,5.00518,5.3315,0.36667,10.30301,1129.12117,0.0,0.80459,0.11538,0.02885,0.03365,0.0,0.03846,0.01442,0.03846,0.0,0.00962,3.8,4.81818,1.12698,9.77778,3.24164,7.5625,68.5,0.56181,2.05882,10.75,0.0,0.0,0.85714,0.39286,2.28571,1.17857,1.57143,0.83149,0.05991,0.8135,0,0.83149,0.05991,0.86676,0.05772,0.88518,0.06646,0.11538,3.25,1.03846,0.69231,3.375,0.07692,0.25,0.30769,0.72727,0.0,0,0.03226,0.29032,0.54839,0.45161,0.12903,0.07692,0.0,0,0.0,0.5,0.125,0.0,0.0,0.375,0.0,0.0,0.63571,0.27273,1.0,0,0.25714,0.2,0.95,0.14286,0.0,0.04405,0.5,0.125,0.0,0.05141,4.14161,0.7352,0.0,0.52128,0.43617,0.04255,0.91951,0.7,0.52273,0.06048,3.83471,11.30283,5,0.08173,4.74692,0.78689,0.0,0.20213,0.60638,0.19149,0.45588,10.55385,0.02885,4.81828,1.5827,0.07447,0.30851,0.20213,0.3617,4.24748,0.56135,0.0,0.29787,0.67021,0.03191,1.0,0.0,34,7.38021,0.0,1,0.10274,0.0995,0.8961,0.5,0.1875,0.11413,0.0,0.0,0.42857,0.8,0.125,0.0,0.0486,0,0.13333,0.17573,0.01923,0.34615,0.0,0.2,0.0,0.05263,0.0,0.10526,0.52632,0.26316,0.30769,0.0,0.2,0.0,0.05263,0.5,0.21053,0.28571,0.0,0.34615,1.0,39,9,10.31988,0.125,7.54248,0.90323,0.25,0.07692,0.06239,0.875,0.48571
1005.txt,fake_br_human,0.03947,0.02632,0.64474,74.22542,0.35526,1.0,2.28571,15.2,0.36842,5,5,76,0.10526,0.21053,0.01316,0.0,0.0,0.0,0.01316,704232.16327,4.06814,4.5758,1080.6,0.9616,0.9616,1.2758,1.2758,5.06021,5.37045,0.5,10.08351,423.18306,0.0,0.59211,0.02632,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.3,9.14286,2.3403,7.3,39.8,0.69168,1.81481,0,0.0,0.0,0.75,1.0,1.75,1.4,1.5,0.53564,0.23464,0.49756,0,0.53564,0.23464,0.63267,0.26613,0.6438,0.26603,0,0,0,0,0,0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71429,0,0,0,0.30612,0.30612,0.66667,0.06667,0.0,0.02762,1.0,0.05556,0.0,0.02202,4.14694,0.89597,0.0,0.51429,0.42857,0.05714,0.69388,0.55556,0.5,0.02188,4.92308,9.37674,0,0.05263,4.72179,0.87164,0.0,0.11429,0.6,0.28571,0.48148,6.17474,0.0,4.56103,1.52827,0.11429,0.25714,0.28571,0.28571,4.39938,0.68384,0.0,0.25714,0.65714,0.08571,1.0,0.2,11,3.49697,0.0,1,0,0.0,0.71429,0.4359,0.0,0.15702,0.0,0,0.55556,0.625,0.16667,0.0,0.06352,0,0.23077,0.17391,0.01316,0,0,0.125,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.5,0.0,0,0,39,1,13.6,0.4,2.92939,0.6875,1.0,0.15385,0.30975,0.4,0.55102
1006.txt,fake_br_human,0.06417,0.02674,0.59893,50.9329,0.40107,1.0,2.625,23.375,0.37433,8,8,187,0.04813,0.13369,0.04813,0.03743,0.0,0.0,0.0107,562038.28571,4.09229,4.42598,538.625,1.92225,1.6965,2.09875,1.921,5.21433,5.42989,0.65217,10.67385,955.74026,0.0,0.74386,0.10695,0.0,0.03743,0.0,0.04813,0.0,0.05882,0.0,0.0107,4.0,3.0,2.49123,9.26087,2.63774,7.25,51.5,0.64388,1.49333,3.5,0.0,0.0,1.28571,0.89286,1.14286,0.92857,1.14286,0.82715,0.08977,0.80632,0,0.82715,0.08977,0.8645,0.09634,0.876,0.0898,0.0,3.25,1.42308,0.73077,4.625,0.07692,0.0,0.26923,0.77778,0.0,0,0.0,0.34615,0.57692,0.42308,0.07692,0.0,0.0,0,0.125,0.125,0.25,0.0,0.125,0.375,0.0,0.0,0.63393,0.22222,1.0,0,0.35714,0.33929,1.0,0.10811,0.0,0.04257,0.8,0.07407,0.0,0.02844,3.94529,0.75745,0.01176,0.56471,0.41176,0.01176,0.86077,1.0,0.48387,0.15891,4.32292,11.55098,2,0.07487,4.69984,0.80829,0.01176,0.17647,0.65882,0.15294,0.4,9.46979,0.02139,5.00167,1.62462,0.07059,0.24706,0.29412,0.28235,4.17347,0.65147,0.0,0.38824,0.58824,0.02353,1.0,0.125,24,6.55208,0.0,1,0.05366,0.05291,0.77143,0.6,0.28125,0.09648,0.0,0.0,0.41026,0.77778,0.10345,0.0,0.04253,0,0.22222,0.1256,0.02139,0.15385,0.0,0.11111,0.0,0.0,0.0,0.0,0.73333,0.26667,0.38462,0.11111,0.22222,0.0,0.0,0.53846,0.0,0.0,0.0,0.15385,1.0,37,2,10.45153,0.125,6.84643,0.96,0.5,0.02703,0.13741,0.75,0.66964
