rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
NOUN(*),0.6097078324145367,0.7435611783821099,0.1437565591727096,0.08622511509998719,-0.13385334596757315,0.13385334596757315,5377,5389,10766,99.86998514115899,99.98144712430427,5947321.5,0.0,-1.1292380809519813,True,True,llm
PROPN(*),0.17349476653549778,0.232928201416796,0.15662490651562838,0.11167389081058232,-0.05943343488129821,0.05943343488129821,4010,5359,9369,74.47994056463595,99.42486085343228,10615262.0,6.842796463596878e-129,-0.43694901902732913,True,True,llm
"NOUN(*, NOUN/conj:e)",0.01998086404215009,0.044266779238223045,0.03097204115343821,0.03407422258138407,-0.024285915196072955,0.024285915196072955,2120,4332,6452,39.37592867756315,80.37105751391465,8102348.0,0.0,-0.7458796688747327,True,True,llm
ADP(*),0.03334586731847217,0.050799996926559406,0.04560676117994102,0.03986688865366573,-0.01745412960808724,0.01745412960808724,2630,4441,7071,48.84843982169391,82.39332096474953,10020765.0,2.5385392826975503e-177,-0.40749181772328313,True,True,llm
"VERB(NOUN/nsubj, *)",0.03541766506771336,0.05257996237157429,0.045854454787579844,0.03870556738482912,-0.017162297303860936,0.017162297303860936,3054,4713,7767,56.72362555720654,87.43970315398887,10025075.0,1.2982830975230107e-173,-0.40447698530187937,True,True,llm
"NOUN(*, NOUN/nmod:de)",0.13051757135619765,0.145322210534159,0.07480165088028998,0.052226999831643535,-0.014804639177961348,0.014804639177961348,5155,5376,10531,95.74665676077267,99.74025974025975,12058270.0,4.273450844960811e-52,-0.22949555264476748,True,True,llm
ADJ(*),0.03259252864786116,0.04701006922977227,0.05881060384036883,0.05375546210554237,-0.014417540581911109,0.014417540581911109,1878,3272,5150,34.88112927191679,60.70500927643785,11184458.0,1.3121990746448243e-109,-0.2559034845692843,True,True,llm
PRON(*),0.09555355895671838,0.08163076793032341,0.07824280491803012,0.049301357409649645,0.013922791026394973,0.013922791026394973,4583,5196,9779,85.1225854383358,96.40074211502782,15243957.0,5.381682708350298e-06,0.21290861187433857,True,True,human
"VERB(*, VERB/conj:mas)",0.004165872418142196,0.017204827617745937,0.0181306447091205,0.02834126778894728,-0.013038955199603741,0.013038955199603741,357,1833,2190,6.630757800891531,34.00742115027829,10617458.5,8.093402119454356e-258,-0.5480808185259309,True,True,llm
"VERB(*, NOUN/obj)",0.006860596825080457,0.019680160317183858,0.02198383776591808,0.027750929485616464,-0.0128195634921034,0.0128195634921034,637,2248,2885,11.831352154531947,41.70686456400742,10327653.0,2.5763393866029665e-242,-0.5120859190949199,True,True,llm
"NOUN(*, NOUN/nmod:em)",0.019874814188441635,0.032490604097147296,0.0378192425914479,0.03134125756267323,-0.012615789908705662,0.012615789908705662,1851,3728,5579,34.37964338781575,69.16512059369202,10038867.0,6.532586268732492e-190,-0.36323653660771227,True,True,llm
"NOUN(*, PROPN/nmod:em)",0.007426352342690792,0.020014674832401526,0.02418392877564046,0.030403603563172045,-0.012588322489710733,0.012588322489710733,605,2158,2763,11.236998514115898,40.037105751391465,10554191.0,9.517952807399334e-224,-0.4582510679678757,True,True,llm
VERB(*),0.14908086823621688,0.16077253248742268,0.09299556929692579,0.06963935733003399,-0.011691664251205797,0.011691664251205797,5031,5364,10395,93.44353640416047,99.51762523191094,13005769.0,1.1851636935102498e-20,-0.1423179178614158,True,True,llm
