file,subset,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,words_before_main_verb,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,apposition_per_clause,clauses_per_sentence,prepositions_per_clause,adjunct_per_clause,prepositions_per_sentence,relative_clauses,aux_plus_PCP_per_sentence,coordinate_conjunctions_per_clauses,ratio_coordinate_conjunctions,first_person_possessive_pronouns,first_person_pronouns,gerund_verbs,infinitive_verbs,inflected_verbs,non-inflected_verbs,participle_verbs,passive_ratio,second_person_possessive_pronouns,second_person_pronouns,sentences_with_five_clauses,sentences_with_four_clauses,sentences_with_one_clause,sentences_with_seven_more_clauses,sentences_with_six_clauses,sentences_with_three_clauses,sentences_with_two_clauses,sentences_with_zero_clause,simple_word_ratio,ratio_subordinate_conjunctions,third_person_possessive_pronouns,third_person_pronouns,negative_words,positive_words,adjective_diversity_ratio,adjectives_max,adjectives_min,adjectives_standard_deviation,adverbs_diversity_ratio,adverbs_max,adverbs_min,adverbs_standard_deviation,concretude_mean,concretude_std,concretude_1_25_ratio,concretude_25_4_ratio,concretude_4_55_ratio,concretude_55_7_ratio,content_word_diversity,content_word_max,content_word_min,content_word_standard_deviation,content_words_ambiguity,dalechall_adapted,verbal_time_moods_diversity,easy_conjunctions_ratio,familiaridade_mean,familiaridade_std,familiaridade_1_25_ratio,familiaridade_25_4_ratio,familiaridade_4_55_ratio,familiaridade_55_7_ratio,function_word_diversity,gunning_fox,hard_conjunctions_ratio,idade_aquisicao_mean,idade_aquisicao_std,idade_aquisicao_1_25_ratio,idade_aquisicao_25_4_ratio,idade_aquisicao_4_55_ratio,idade_aquisicao_55_7_ratio,imageabilidade_mean,imageabilidade_std,imageabilidade_1_25_ratio,imageabilidade_25_4_ratio,imageabilidade_4_55_ratio,imageabilidade_55_7_ratio,indefinite_pronouns_diversity,medium_long_sentence_ratio,max_noun_phrase,mean_noun_phrase,medium_short_sentence_ratio,min_noun_phrase,named_entity_ratio_sentence,named_entity_ratio_text,noun_diversity,nouns_max,nouns_min,nouns_standard_deviation,subtitles,postponed_subject_ratio,preposition_diversity,pronoun_diversity,pronouns_max,pronouns_min,pronouns_standard_deviation,dialog_pronoun_ratio,punctuation_diversity,punctuation_ratio,abstract_nouns_ratio,adverbs_before_main_verb_ratio,subjunctive_future_ratio,indefinite_pronoun_ratio,indicative_condition_ratio,indicative_future_ratio,indicative_imperfect_ratio,indicative_pluperfect_ratio,indicative_present_ratio,indicative_preterite_perfect_ratio,infinite_subordinate_clauses,oblique_pronouns_ratio,relative_pronouns_ratio,subjunctive_imperfect_ratio,subjunctive_present_ratio,subordinate_clauses,temporal_adjunct_ratio,demonstrative_pronoun_ratio,coreference_pronoun_ratio,non_svo_ratio,relative_pronouns_diversity_ratio,sentence_length_max,sentence_length_min,sentence_length_standard_deviation,short_sentence_ratio,std_noun_phrase,verb_diversity,verbs_max,verbs_min,verbs_standard_deviation,long_sentence_ratio,ratio_function_to_content_words
1.txt,fake_br_llm,0.08543,0.0402,0.62312,6.99206,0.37688,2.33333,3.29839,28.42857,0.34673,3,7,199,0.03518,0.15075,0.03015,0.02513,0.0,0.0,0.00503,242195.12903,4.19915,4.53288,41.42857,1.95586,1.95586,1.85429,1.85429,5.28474,5.50544,0.44828,10.55134,1633.39561,0.0,0.7582,0.08543,0.01005,0.03518,0.0,0.03518,0.00503,0.03518,0.0,0.01005,3.47059,3.83333,2.54386,6.7037,2.92533,6.42857,72.57143,0.50981,1.65333,8.0,0.0,0.0,0.66667,1.14286,0.66667,1.28571,0.66667,0.8811,0.0536,0.86422,0.0655,0.9352,0.01624,0.89748,0.06253,0.90687,0.06618,0.03125,4.57143,1.0625,0.53125,4.85714,0.0625,0.14286,0.1875,0.66667,0.0,0,0.05714,0.28571,0.48571,0.51429,0.17143,0.03125,0.0,0,0.57143,0.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.66129,0.33333,1.0,0,0.3629,0.41935,1.0,0.14815,0.05882,0.02647,1.0,0.05128,0.0,0.01925,3.98709,0.63394,0.0,0.52632,0.47368,0.0,0.898,0.60714,0.51724,0.0345,3.81308,10.83887,4,0.05528,4.53947,0.70146,0.0,0.21053,0.69474,0.09474,0.36,11.56841,0.02513,5.56737,1.34148,0.02105,0.15789,0.18947,0.53684,4.08904,0.48522,0.0,0.44211,0.55789,0.0,1.0,0.0,35,7.68605,0.0,1,0.043,0.045,0.7971,0.44118,0.26087,0.05401,0.0,0.25,0.44118,0.71429,0.08333,0.0,0.02993,0,0.1,0.10314,0.05528,0.21875,0.0,0.14286,0.11765,0.0,0.05882,0.0,0.58824,0.23529,0.375,0.0,0.28571,0.0,0.0,0.53125,0.11111,0.33333,0.0,0.3125,0.5,39,23,5.52545,0.0,7.28956,1.0,0.21739,0.07692,0.04479,1.0,0.60484
10.txt,fake_br_llm,0.06834,0.041,0.61276,32.5114,0.38724,2.09091,2.98513,19.08696,0.35535,11,23,439,0.06378,0.14806,0.03189,0.0205,0.0,0.0,0.01139,424488.49071,3.97515,4.31423,1678.65217,1.46348,1.39087,1.77165,1.52313,5.07978,5.29966,0.55932,11.47546,1491.52442,0.00406,0.77388,0.08884,0.00683,0.04328,0.00456,0.04784,0.00456,0.03872,0.0,0.00683,3.3,1.41667,2.16505,8.78182,2.6053,7.0,41.86957,0.58382,1.58235,6.8,0.22727,0.68182,1.0,0.81028,0.95455,0.87352,0.95455,0.81251,0.08578,0.80149,0.09971,0.90292,0.02997,0.8823,0.07115,0.90673,0.06439,0.03448,2.32,1.22414,0.74138,2.84,0.12069,0.16,0.17241,0.625,0.2,0.0,0.07692,0.15385,0.67692,0.32308,0.09231,0.05172,0.0,0.0,0.04,0.08,0.24,0.0,0.0,0.28,0.36,0.0,0.56134,0.375,0.8,1.0,0.34201,0.57993,0.96667,0.25,0.0,0.06237,0.72222,0.16667,0.0,0.04866,3.82762,0.69678,0.00524,0.57068,0.40838,0.01571,0.87282,0.66667,0.36842,0.07381,4.11,11.41715,5,0.06378,4.66426,0.73977,0.00524,0.20419,0.60733,0.18325,0.37521,7.79515,0.03189,5.29277,1.62473,0.05236,0.18325,0.27225,0.34555,4.09273,0.57579,0.0,0.43455,0.56021,0.00524,0.6,0.0,31,6.36377,0.17391,1,0.08569,0.09773,0.78912,0.5,0.16667,0.09111,0.0,0.025,0.2973,0.53571,0.25,0.0,0.07235,0.0,0.08621,0.1369,0.05467,0.27586,0.0,0.17857,0.0,0.08696,0.06522,0.04348,0.58696,0.21739,0.22414,0.03571,0.25,0.0,0.0,0.44828,0.10417,0.09091,0.22727,0.31034,0.14286,38,5,9.7531,0.21739,6.02119,0.86154,0.3,0.03846,0.07007,0.6087,0.63197
100.txt,fake_br_llm,0.07182,0.02762,0.67127,16.94134,0.32873,1.45455,3.11523,22.625,0.40884,11,16,362,0.0221,0.16298,0.03039,0.02762,0.0,0.0,0.00276,262062.84774,4.02803,4.36962,423.5625,1.48106,1.30437,1.29006,1.15419,5.00068,5.2547,0.78571,11.32371,1083.68834,0.0038,0.77768,0.05249,0.00552,0.03315,0.0,0.00552,0.00276,0.00552,0.0,0.00552,2.57692,4.14286,2.52066,7.51111,2.97073,6.875,54.0,0.59704,2.04202,5.4375,0.06667,0.26667,0.86667,0.73333,1.4,0.98333,1.13333,0.80269,0.09846,0.77348,0.0592,0.81203,0.11737,0.85786,0.09484,0.88558,0.09824,0.06122,3.0625,1.16327,0.5102,3.5625,0.0,0.5625,0.22449,0.55,0.0,0.0,0.09524,0.20635,0.44444,0.55556,0.25397,0.12245,0.0,0.0,0.0625,0.1875,0.125,0.0625,0.0,0.3125,0.25,0.0,0.58025,0.45,1.0,1.0,0.24691,0.53909,0.84615,0.33333,0.0,0.0806,0.9,0.11111,0.0,0.03057,4.02808,0.8677,0.00565,0.54237,0.39548,0.0565,0.88451,0.65385,0.46341,0.05034,3.71357,11.65047,7,0.06077,4.56221,0.76786,0.0,0.21469,0.66102,0.12429,0.2985,9.23453,0.01105,5.35807,1.59541,0.0339,0.18644,0.23729,0.40113,4.1269,0.73932,0.0,0.51412,0.44068,0.0452,1.0,0.125,30,6.65312,0.0,1,0.09782,0.09402,0.78551,0.63158,0.22222,0.10456,0.0,0.0,0.30645,0.75,0.16667,0.0,0.04509,0.0,0.10638,0.12411,0.06906,0.18367,0.0,0.375,0.03226,0.03226,0.09677,0.06452,0.32258,0.41935,0.34694,0.0,0,0.0,0.03226,0.53061,0.17241,0.13333,0.06667,0.2449,0,42,3,8.81671,0.0625,5.6896,0.88136,0.21429,0.0,0.05646,0.8125,0.48971
1000.txt,fake_br_llm,0.05274,0.04852,0.62236,19.34785,0.37764,2.5,3.20339,23.7,0.34388,8,20,474,0.02532,0.17722,0.02954,0.0211,0.00211,0.0,0.00633,485673.34237,4.45027,4.76011,1948.6,2.58405,2.4133,2.83595,2.66835,5.38603,5.59741,0.6506,11.49299,1238.11439,0.0,0.77227,0.08439,0.01477,0.03376,0.00211,0.03797,0.00211,0.01899,0.0,0.01688,2.4,2.95238,2.76159,8.53968,3.09753,7.575,52.45,0.5058,1.64804,8.85,0.0,0.0,0.10526,0.31053,0.63158,0.86316,0.26316,0.84299,0.05522,0.83771,0.06655,0.93698,0.01537,0.89919,0.05164,0.9156,0.05419,0.04688,3.2,1.32812,0.625,4.25,0.07812,0.5,0.1875,0.57143,0.0,0,0.16867,0.10843,0.48193,0.51807,0.24096,0.10938,0.0,0,0.15,0.3,0.1,0.0,0.0,0.25,0.2,0.0,0.68814,0.42857,1.0,0,0.37627,0.45763,0.96,0.16667,0.0,0.04809,0.6087,0.14286,0.0,0.04893,4.04347,0.87063,0.0,0.55823,0.35743,0.08434,0.93301,0.64,0.46154,0.0463,4.14231,10.87485,7,0.06118,4.8072,0.784,0.0,0.14458,0.60643,0.249,0.30075,9.64624,0.02743,5.12346,1.68766,0.06426,0.249,0.21285,0.33735,4.1895,0.69107,0.0,0.44177,0.50201,0.05622,1.0,0.05,28,6.52167,0.05,1,0.02669,0.02521,0.87422,0.6,0.25,0.09073,0.0,0.02273,0.24719,0.58333,0.09524,0.0,0.0266,0,0.06349,0.13333,0.0654,0.25,0.02381,0.08333,0.02381,0.0,0.07143,0.04762,0.59524,0.19048,0.28125,0.0,0.41667,0.0,0.04762,0.5,0.02,0.0,0.0,0.3125,0.4,37,9,6.64154,0.05,4.95424,0.83333,0.22222,0.06667,0.03347,0.85,0.60678
1001.txt,fake_br_llm,0.06053,0.02368,0.63158,23.4698,0.36842,2.28571,3.04167,23.75,0.41579,7,16,380,0.06579,0.13158,0.03684,0.03421,0.0,0.0,0.00263,320722.32917,3.78877,4.31688,67.8125,1.37825,1.37825,1.71456,1.71456,4.916,5.2772,1.0625,10.84689,1554.0125,0.0,0.81192,0.08684,0.00526,0.04737,0.00263,0.03421,0.00263,0.02105,0.0,0.00526,1.73913,2.85714,1.98361,7.53488,2.77498,7.125,53.0,0.6233,1.71429,6.84211,0.0,0.0,0.4,0.55833,0.26667,0.6,0.06667,0.82572,0.0413,0.82542,0.03557,0.91673,0.02189,0.88901,0.0459,0.90312,0.04445,0.11111,2.36842,1.24444,0.68889,2.94737,0.26667,0.05263,0.33333,0.83333,0.0,0,0.06,0.2,0.64,0.36,0.1,0.02222,0.0,0,0.0,0.10526,0.15789,0.0,0.05263,0.31579,0.26316,0.10526,0.54583,0.16667,1.0,0,0.2875,0.38333,0.95652,0.14815,0.0,0.04491,0.88889,0.11111,0.0,0.03182,4.06441,0.8465,0.0,0.56209,0.36601,0.0719,0.95376,0.66667,0.44444,0.05493,3.21026,11.42137,4,0.07368,4.66586,0.81269,0.00654,0.15033,0.69281,0.15033,0.36488,9.65895,0.01579,5.19857,1.4604,0.03922,0.21569,0.22876,0.43791,4.28707,0.64008,0.0,0.38562,0.57516,0.03922,1.0,0.125,32,8.97708,0.0625,1,0.11656,0.12011,0.92627,0.53846,0.27778,0.07302,0.0,0.0,0.35,0.52,0.18519,0.0,0.05372,0,0.05769,0.12903,0.03684,0.24444,0.0,0.16,0.0,0.40625,0.0,0.0,0.46875,0.09375,0.24444,0.0,0.48,0.0,0.03125,0.57778,0.05556,0.33333,0.0,0.26667,0.41667,41,13,7.03118,0.0,6.44377,0.88,0.21429,0.03333,0.04142,0.8125,0.58333
1002.txt,fake_br_llm,0.06933,0.032,0.61867,31.9179,0.38133,2.33333,2.89655,26.78571,0.384,6,14,375,0.06667,0.13333,0.03467,0.03467,0.0,0.0,0.0,430025.92241,3.90507,4.51321,335.35714,1.59164,1.59164,1.84857,1.84857,5.04377,5.44806,0.91667,11.42589,1199.38904,0.00362,0.76446,0.09333,0.00533,0.04533,0.0,0.03467,0.00267,0.02133,0.0,0.02133,5.07692,3.33333,2.41593,9.72222,3.11667,8.14286,55.57143,0.60083,1.62238,7.13333,0.0,1.15385,1.53846,1.35165,1.15385,1.04396,1.0,0.87326,0.02405,0.87654,0.02392,0.94467,0.02633,0.92198,0.02422,0.93269,0.0277,0.02381,2.8,1.57143,0.80952,4.4,0.21429,0.33333,0.30952,0.86667,0.0,0.0,0.04082,0.20408,0.5102,0.4898,0.2449,0.07143,0.0,0.0,0.06667,0.2,0.0,0.0,0.0,0.33333,0.33333,0.06667,0.55172,0.13333,1.0,1.0,0.1681,0.4181,0.96154,0.15,0.0,0.04445,0.83333,0.11538,0.0,0.03326,4.02056,0.79372,0.0,0.54217,0.40361,0.05422,0.90143,0.6875,0.48276,0.04864,4.2663,11.74424,7,0.06133,4.73093,0.67996,0.0,0.16265,0.6988,0.13855,0.30523,10.87002,0.024,5.19881,1.50311,0.04217,0.22289,0.25301,0.36747,4.21248,0.6317,0.0,0.39759,0.55422,0.04819,0,0.14286,20,5.37143,0.0,1,0.09706,0.10249,0.80756,0.57143,0.24,0.09412,0.0,0.0,0.31944,0.4,0.25,0.0,0.06253,0.0,0.13636,0.12201,0.032,0.21429,0.0,0.0,0.07407,0.07407,0.03704,0.03704,0.2963,0.40741,0.38095,0.0,0.36,0.0,0.07407,0.64286,0.13889,0.15385,0.0,0.21429,0.33333,38,14,7.63618,0.0,4.03566,0.92,0.15789,0.02632,0.04412,0.85714,0.61638
1003.txt,fake_br_llm,0.06969,0.03136,0.63415,33.47698,0.36585,2.33333,2.93407,20.5,0.4007,6,14,287,0.05226,0.1324,0.01394,0.00697,0.0,0.0,0.00697,632926.4011,3.93834,4.45346,749.07143,1.27329,1.27329,2.10664,2.10664,5.00085,5.35795,0.5,11.22606,904.70972,0.00532,0.8067,0.04878,0.01045,0.01394,0.00348,0.02439,0.00348,0.01394,0.0,0.00348,5.68421,2.44444,2.42697,9.92857,2.80827,6.75,47.64286,0.60635,1.73333,3.53333,0.07692,0.84615,0.61538,0.82418,0.76923,0.95604,0.53846,0.84331,0.03903,0.83049,0.04406,0.91852,0.02218,0.89156,0.05091,0.91068,0.0505,0.0,2.33333,1.48571,0.85714,3.46667,0.11429,0.2,0.14286,0.71429,0.0,0.0,0.05263,0.05263,0.65789,0.34211,0.23684,0.02857,0.0,0.0,0.06667,0.06667,0.26667,0.0,0.0,0.26667,0.33333,0.0,0.55495,0.28571,1.0,1.0,0.19231,0.39011,0.9,0.16,0.0,0.05114,0.88889,0.16667,0.0,0.04914,4.10069,0.81691,0.00806,0.49194,0.40323,0.09677,0.87434,0.72727,0.41667,0.08825,4.30345,11.97062,5,0.03484,4.7508,0.71996,0.0,0.16129,0.67742,0.16129,0.36333,8.35331,0.02091,5.12334,1.55171,0.04839,0.24194,0.24194,0.3629,4.23234,0.62082,0.0,0.35484,0.62097,0.02419,1.0,0.07143,22,6.41786,0.0,1,0.1055,0.09191,0.73937,0.57143,0.22222,0.10049,0.0,0.04167,0.37288,0.53333,0.2,0.0,0.0651,0.0,0.09756,0.13213,0.05226,0.28571,0.0,0.06667,0.08,0.12,0.0,0.0,0.44,0.24,0.2,0.0,0.26667,0.0,0.12,0.37143,0.09091,0.30769,0.07692,0.28571,0.75,37,10,7.32657,0.14286,5.00378,0.94737,0.22222,0.04348,0.04782,0.78571,0.57692
1004.txt,fake_br_llm,0.07223,0.0158,0.61851,28.12521,0.38149,2.85714,3.05474,22.15,0.38149,7,20,443,0.04515,0.14898,0.02709,0.02483,0.00226,0.0,0.0,216156.63139,3.93427,4.46413,1027.4,1.6925,1.6925,2.61675,2.61675,5.08256,5.41604,0.73016,11.30567,1303.59887,0.00581,0.80015,0.10609,0.01354,0.04063,0.00451,0.06095,0.00903,0.03612,0.0,0.00226,3.125,5.6,2.45455,6.03226,2.66739,7.425,53.35,0.59294,1.6213,7.2,0.15789,0.68421,0.52632,0.4,0.47368,0.57895,0.36842,0.83763,0.05816,0.83983,0.0457,0.92917,0.01163,0.90203,0.04164,0.91852,0.04038,0.05357,2.8,1.32143,0.66071,3.7,0.17857,0.0,0.25,0.93333,0.0,0.0,0.07937,0.30159,0.55556,0.44444,0.06349,0.0,0.0,0.0,0.05,0.1,0.25,0.0,0.1,0.3,0.2,0.0,0.56934,0.06667,1.0,1.0,0.38321,0.4562,0.96875,0.17647,0.0,0.05766,0.85714,0.25,0.0,0.05613,3.82466,0.63103,0.00515,0.68557,0.29381,0.01546,0.93057,0.6087,0.4,0.05066,3.52479,11.72123,4,0.06546,4.49293,0.74176,0.0,0.22165,0.69588,0.08247,0.31757,9.03427,0.02032,5.65136,1.28785,0.00515,0.14948,0.24227,0.47938,4.01544,0.50011,0.0,0.51031,0.48969,0.0,1.0,0.05,36,5.5425,0.1,1,0.08462,0.08986,0.91814,0.55,0.23077,0.08362,0.0,0.0,0.25641,0.4,0.15385,0.0,0.04445,0.0,0.03226,0.14398,0.04966,0.23214,0.02857,0.05,0.02857,0.02857,0.0,0.0,0.91429,0.0,0.33929,0.05,0.5,0.0,0.0,0.53571,0.11364,0.0,0.15789,0.26786,0.3,39,8,7.94528,0.05,5.52512,0.78788,0.23529,0.04,0.04135,0.8,0.61679
1005.txt,fake_br_llm,0.08754,0.02694,0.62626,12.25315,0.37374,2.14286,3.30645,19.8,0.34007,7,15,297,0.05724,0.17172,0.03367,0.02357,0.0,0.00337,0.00337,352150.47849,4.23988,4.50495,1070.06667,1.85467,1.85467,2.55033,2.55033,5.18629,5.38256,0.73469,11.16294,1046.60854,0.0,0.80253,0.09091,0.00337,0.03367,0.00337,0.05387,0.00673,0.04377,0.0,0.00337,2.46154,1.4,3.37805,7.38636,2.66721,7.03333,40.8,0.51632,1.67568,7.26667,0.0,0.0,0.64286,0.71429,1.14286,1.12381,0.85714,0.73246,0.30055,0.73168,0.27066,0.91183,0.02429,0.83583,0.23463,0.85124,0.23941,0.025,2.66667,1.175,0.575,3.13333,0.075,0.33333,0.2,0.61538,0.0,0,0.17647,0.19608,0.47059,0.52941,0.15686,0.125,0.0,0,0.13333,0.2,0.2,0.0,0.0,0.2,0.2,0.06667,0.70968,0.38462,1.0,0,0.59677,0.7043,0.84615,0.1875,0.0,0.07069,1.0,0.13043,0.0,0.03403,3.83872,0.74535,0.02013,0.67114,0.26174,0.04698,0.86425,0.68421,0.42857,0.06727,4.28662,9.93508,3,0.06734,4.78949,0.69585,0.0,0.13423,0.67114,0.19463,0.4025,8.09912,0.02694,5.62894,1.31818,0.01342,0.11409,0.25503,0.51678,3.99316,0.58247,0.0,0.5302,0.4698,0.0,0.66667,0.06667,19,4.63333,0.0,1,0.05009,0.04698,0.675,1.0,0.21739,0.18654,0.0,0.0,0.36957,0.58824,0.17391,0.0,0.05134,0,0.14634,0.12023,0.0404,0.2,0.0,0.35294,0.0,0.0,0.0,0.0,0.83333,0.08333,0.325,0.05882,0.17647,0.0,0.08333,0.525,0.07143,0.35714,0.0,0.2,0.33333,30,1,6.71516,0.06667,3.39635,0.88235,0.3,0.0,0.0855,0.86667,0.59677
1006.txt,fake_br_llm,0.07692,0.02404,0.62981,13.68269,0.37019,7.0,3.19084,29.71429,0.39423,1,7,208,0.01923,0.13462,0.04808,0.03365,0.0,0.00481,0.00962,327344.82443,3.87669,4.4031,144.85714,1.72143,1.72143,1.729,1.729,5.04696,5.41493,0.71429,10.66899,1230.35669,0.0,0.75312,0.07692,0.0,0.04327,0.0,0.02404,0.0,0.02885,0.0,0.00481,2.0,1.75,2.36508,5.86957,3.37619,7.5,77.85714,0.53649,1.7013,4.71429,0.0,0.0,1.16667,1.28571,1.5,1.57143,1.16667,0.86178,0.03097,0.84401,0.03579,0,0,0.88564,0.02574,0.89529,0.02471,0.15385,3.71429,1.34615,0.57692,5.0,0.03846,0.14286,0.30769,0.53333,0.0,0,0.14286,0.14286,0.53571,0.46429,0.17857,0.03846,0.0,0,0.14286,0.0,0.14286,0.0,0.28571,0.28571,0.14286,0.0,0.55725,0.46667,1.0,0,0.22137,0.48855,1.0,0.2,0.03226,0.05898,0.8,0.04,0.0,0.0167,3.82058,0.70599,0.0,0.67391,0.30435,0.02174,0.89156,0.58491,0.5,0.02767,3.04717,12.39802,5,0.08173,4.54547,0.72836,0.0,0.17391,0.73913,0.08696,0.35065,12.05495,0.00481,5.7024,1.49097,0.05435,0.06522,0.21739,0.51087,3.90456,0.60656,0.0,0.6413,0.3587,0.0,0,0.14286,32,6.05068,0.0,1,0.08423,0.08824,0.78049,0.53846,0.26667,0.10321,0.0,0.06667,0.40541,1.0,0.13333,0.0,0.04672,0,0.15385,0.1453,0.04327,0.26923,0.0,0.0,0.0,0.05556,0.05556,0.16667,0.05556,0.66667,0.30769,0.0,0.25,0.0,0.0,0.61538,0.0,0.33333,0.0,0.38462,1.0,44,15,8.89164,0.0,6.2314,1.0,0.2,0.04,0.05867,0.85714,0.58779
