rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
NOUN(*),0.047763650975440566,0.033949345572075414,0.02770576653138326,0.009385958574810529,0.013814305403365153,0.013814305403365153,5377,5389,10766,99.86998514115899,99.98144712430427,21300521.5,0.0,0.6678544652614146,True,True,human
"NOUN(*, NOUN/nmod:de)",0.0456662890046394,0.03458222698554901,0.027154954649468634,0.009697622108809733,0.011084062019090388,0.011084062019090388,5155,5376,10531,95.74665676077267,99.74025974025975,20238714.0,7.057423081200497e-276,0.5436253241934254,True,True,human
"NOUN(*, ADV/nmod:de)",0.009412309548566648,0.00042035949325826066,0.0463676820554036,0.008120448832845066,0.008991950055308387,0.008991950055308387,236,15,251,4.383358098068351,0.2782931354359926,15106658.0,1.9020140806594768e-45,0.2701428326875796,True,True,human
VERB(*),0.04362982420611691,0.03486356106695116,0.023572336983874138,0.009809963902931254,0.008766263139165752,0.008766263139165752,5031,5364,10395,93.44353640416047,99.51762523191094,19620617.0,5.309802391755174e-220,0.485559199826152,True,True,human
"NOUN(*, PRON/nmod:de)",0.014626674193430415,0.007026134402768372,0.044838391147923,0.02701349375483192,0.007600539790662043,0.007600539790662043,609,359,968,11.311292719167906,6.6604823747680895,15216298.5,1.1199596417036818e-18,0.20533713504354442,True,True,human
PUNCT(*),0.008333461394688779,0.0009591233800922777,0.038609074506976974,0.01162009158534955,0.0073743380145965005,0.0073743380145965005,269,39,308,4.9962852897474,0.7235621521335807,15131840.5,1.2313279335922007e-40,0.2586542090195191,True,True,human
"VERB(PRON/nsubj, *, SYM/obl:a)",0.006506429835917446,0.0,0.03629089018250993,0.0,0.006506429835917446,0.006506429835917446,186,0,186,3.4546805349182765,0.0,15011150.0,4.210062062256918e-43,0.25354796397410984,True,True,human
PRON(*),0.04080195472312967,0.035344477405991254,0.025406960282980798,0.011530082057369113,0.005457477317138415,0.005457477317138415,4583,5196,9779,85.1225854383358,96.40074211502782,17932737.0,7.298769011462734e-100,0.27662395351547214,True,True,human
"VERB(*, VERB/conj:e, VERB/conj:e)",0.007214149404530948,0.0019416947465400063,0.03610501511975321,0.01656370200462735,0.005272454657990942,0.005272454657990942,235,76,311,4.364784546805349,1.4100185528756957,14940953.0,3.3449439800884967e-20,0.18770861840055686,True,True,human
"VERB(VERB/advcl:se, *, NOUN/obl:em, NOUN/obl:por, NOUN/obl:por, NOUN/obl:por, NOUN/obl:em)",0.005111956978683457,0.0,0.03447486879384288,0.0,0.005111956978683457,0.005111956978683457,129,0,129,2.3959881129271916,0.0,14857535.0,2.89465491648949e-30,0.20970054832559906,True,True,human
"VERB(*, VERB/advcl:porque)",0.005936055276459393,0.0009303174311566173,0.03543883535047645,0.011766990513773038,0.005005737845302775,0.005005737845302775,171,35,206,3.176077265973254,0.6493506493506493,14877604.5,7.749299105713285e-22,0.18958047138891257,True,True,human
"VERB(*, NOUN/obl:em, VERB/conj:e)",0.012500542715262377,0.007751866017546565,0.047428964606533335,0.029549002481198492,0.004748676697715812,0.004748676697715812,446,369,815,8.283803863298663,6.846011131725417,14747775.0,0.0013071200773398925,0.1201782649694986,True,True,human
"VERB(PRON/nsubj, *)",0.021209554384157142,0.016544558385069037,0.044125808618720556,0.03321923236718223,0.0046649959990881056,0.0046649959990881056,1190,1133,2323,22.102526002971768,21.020408163265305,14856960.0,0.002797172659791189,0.1194464724067437,True,True,human
X(*),0.011765238166392035,0.007137900780435363,0.041417857398705064,0.027428462780030794,0.004627337385956672,0.004627337385956672,474,358,832,8.803863298662705,6.641929499072356,14847339.0,6.2857867857360876e-06,0.13173305053944243,True,True,human
