category,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
verb (Verbs),10.306183328574575,8.126931064452728,3.7045484544877394,1.9006169063660718,2.179252264121846,2.179252264121846,20223317.5,9.384506153850136e-272,0.740197741217443,True,True,human
social (Social),7.362354609345234,5.794266480530593,3.643610649925965,2.2661478321284294,1.568088128814641,1.568088128814641,18510058.0,7.758973232267856e-134,0.5168243270429842,True,True,human
adj (Adjectives),2.828295081618893,4.071249380195756,1.938963746156264,1.424196764062508,-1.2429542985768625,1.2429542985768625,8069636.5,0.0,-0.7306493755685227,True,True,llm
function (Function Words),45.26877916628592,44.05750728281695,5.529582228590311,3.0241574487227103,1.2112718834689673,1.2112718834689673,17400389.0,1.6303690663672066e-70,0.2717954178596801,True,True,human
cogproc (Cognitive Processes),9.299806710950703,10.346267860159235,3.8186679700233004,2.4759107830410305,-1.0464611492085325,1.0464611492085325,11550193.0,5.408526294151593e-76,-0.3251796220258448,True,True,llm
prep (Prepositions),20.043815910769624,21.056945701410736,4.033186500349377,2.4725877992039456,-1.0131297906411127,1.0131297906411127,12095892.0,2.5037359200204758e-51,-0.30286374566360985,True,True,llm
drives (Drives),9.239265324778595,10.243469271916346,3.652164367008293,2.418935477891195,-1.0042039471377517,1.0042039471377517,11528947.5,4.709425574095922e-77,-0.32419363807131124,True,True,llm
focuspast (Past Focus),2.660777444989465,1.6881064503332315,2.043842776551929,1.0780045683054864,0.9726709946562333,0.9726709946562333,18552164.5,1.0628179612170852e-136,0.5952991430149064,True,True,human
affect (Affect),3.8092358027511266,4.749980227628821,2.374375529004069,1.650348955583702,-0.9407444248776948,0.9407444248776948,10055770.5,7.849895176248969e-169,-0.46009706922734495,True,True,llm
number (Numbers),2.5625689204532978,3.439718580112565,1.734537383885415,1.2207218069058026,-0.8771496596592674,0.8771496596592674,9264505.0,4.929255341495558e-233,-0.5848456159463833,True,True,llm
auxverb (Auxiliary Verbs),4.430030747924904,3.6652210722452,2.377609404791962,1.361906197522971,0.7648096756797038,0.7648096756797038,17344236.5,7.469831443731419e-68,0.3947404127686999,True,True,human
work (Work),3.381471478187803,4.085347016652612,2.5174548952407005,1.8831550750537218,-0.7038755384648092,0.7038755384648092,11202606.0,2.736556656257986e-94,-0.31662685667877005,True,True,llm
space (Space),5.705630046246285,6.390519976133121,2.6678289133314013,1.8150505802798043,-0.6848899298868361,0.6848899298868361,11417876.0,1.0203360140339545e-82,-0.3001750172638927,True,True,llm
posemo (Positive Emotions),1.700484438913622,2.3369776070416863,1.4770398408894856,1.205026502247169,-0.6364931681280643,0.6364931681280643,9749515.5,1.4249783268687322e-192,-0.47220663454431233,True,True,llm
focuspresent (Present Focus),5.693936994747351,5.084295120580351,2.7543471675554643,1.6591600778987605,0.609641874167,0.609641874167,16118131.0,9.37498927471298e-23,0.26813003751049613,True,True,human
percept (Perceptual Processes),2.3633169848026787,1.7755598070285035,1.9873296842413415,1.2094554093853975,0.5877571777741752,0.5877571777741752,16792691.5,1.6592518534325302e-44,0.35729220957035734,True,True,human
motion (Motion),4.069541297167714,3.4830716978280276,2.288563476331299,1.2590845291872215,0.586469599339686,0.586469599339686,16575972.5,1.0954476688460573e-36,0.31752553217460366,True,True,human
informal (Informal Language),0.7697065688107521,0.23552510911523714,1.1852232322286225,0.4534229528683081,0.5341814596955149,0.5341814596955149,18349809.0,2.6657698682750693e-145,0.59531132375472,True,True,human
male (Male),1.4231722417883357,0.8980453656546658,1.4583797353542671,0.7282847678950336,0.5251268761336699,0.5251268761336699,16794958.0,5.926471012845253e-45,0.45557657895821674,True,True,human
power (Power),4.123913012109797,4.648588399105524,2.633151718638009,1.867079910740576,-0.5246753869957272,0.5246753869957272,12094807.0,2.255181186938863e-51,-0.22987024739624853,True,True,llm
hear (Hear),0.9248822358722188,0.40847027670206093,1.192995279023002,0.5692916261074886,0.5164119591701579,0.5164119591701579,17913769.5,2.326678747168515e-103,0.5524891281341511,True,True,human
relativ (Relativity),11.706267455004904,12.203833863131402,4.068690397363497,2.672985793291254,-0.49756640812649877,0.49756640812649877,12909170.0,1.030784799572497e-23,-0.14454403464926405,True,True,llm
insight (Insight),1.3212569723329675,1.7970444735449314,1.2138876919966577,0.9601915183533427,-0.4757875012119639,0.4757875012119639,10089353.0,1.2179554881973309e-166,-0.4347411479650879,True,True,llm
