rank_univariate_f1,feature,group,mi,f_stat,p_value,pearson_corr,univariate_f1
1,syll__media_silabas_por_palavra,syllables,0.346873,7521.0211,0.0000e+00,0.6906,0.840442
2,nilc__flesch,nilc,0.332790,7198.0569,0.0000e+00,-0.6827,0.833691
3,nilc__syllables_per_content_word,nilc,0.321309,6777.4742,0.0000e+00,0.6716,0.830188
4,nilc__honore,nilc,0.306536,4811.0438,0.0000e+00,0.6070,0.818537
5,nilc__content_word_diversity,nilc,0.327338,4794.3402,0.0000e+00,0.6063,0.815214
6,nilc__punctuation_diversity,nilc,0.243055,3823.7218,0.0000e+00,-0.5628,0.796318
7,liwc__word_count,liwc,0.230174,3189.1109,0.0000e+00,0.5281,0.791544
8,liwc__matched_words,liwc,0.225264,2939.3930,0.0000e+00,0.5126,0.790073
9,nilc__idade_aquisicao_mean,nilc,0.254826,5311.6475,0.0000e+00,0.6259,0.788275
10,nilc__idade_aquisicao_55_7_ratio,nilc,0.252015,4023.3708,0.0000e+00,0.5726,0.780203
11,nilc__idade_aquisicao_1_25_ratio,nilc,0.282635,3632.1845,0.0000e+00,-0.5529,0.780040
12,"ud__VERB(PUNCT/punct, *, NOUN/obj)",enhanced_ud,0.194001,2091.3735,0.0000e+00,0.4497,0.776215
13,nilc__ttr,nilc,0.248003,2511.3617,0.0000e+00,0.4831,0.774735
14,nilc__lsa_span_mean,nilc,0.212541,2059.8468,0.0000e+00,0.4470,0.767987
15,ud__ADJ(*),enhanced_ud,0.234909,3574.6299,0.0000e+00,0.5499,0.765499
16,nilc__lsa_paragraph_std,nilc,0.297453,2169.1011,0.0000e+00,-0.4563,0.765359
17,nilc__lsa_givenness_mean,nilc,0.205551,2226.2163,0.0000e+00,0.4610,0.763996
18,nilc__gerund_verbs,nilc,0.256342,2887.4851,0.0000e+00,0.5092,0.762598
19,nilc__long_sentence_ratio,nilc,0.258789,4214.1251,0.0000e+00,0.5815,0.762542
20,pos__ADJ,pos_tagger,0.242045,3167.4379,0.0000e+00,0.5268,0.761192
21,nilc__imageabilidade_25_4_ratio,nilc,0.239892,4004.3834,0.0000e+00,0.5717,0.760995
22,nilc__imageabilidade_4_55_ratio,nilc,0.230225,3483.0086,0.0000e+00,-0.5449,0.757470
23,nilc__cross_entropy,nilc,0.172653,2159.7210,0.0000e+00,-0.4555,0.754313
24,nilc__lsa_all_std,nilc,0.442328,800.3260,4.0206e-168,0.2974,0.752538
25,nilc__short_sentence_ratio,nilc,0.222944,3380.8153,0.0000e+00,-0.5392,0.744202
26,nilc__lsa_all_mean,nilc,0.167816,2265.3636,0.0000e+00,0.4642,0.740907
27,nilc__non-inflected_verbs,nilc,0.211326,2705.7340,0.0000e+00,0.4970,0.739993
28,nilc__function_word_diversity,nilc,0.175634,2290.8029,0.0000e+00,-0.4662,0.739766
29,nilc__familiaridade_55_7_ratio,nilc,0.231083,2602.5741,0.0000e+00,-0.4898,0.726216
30,nilc__positive_words,nilc,0.180814,2391.6384,0.0000e+00,0.4741,0.724159
31,nilc__sentences_per_paragraph,nilc,0.520265,549.9513,8.6560e-118,0.2500,0.723577
32,nilc__lsa_adj_mean,nilc,0.154660,1999.9979,0.0000e+00,0.4418,0.723245
33,nilc__adjective_ratio,nilc,0.210108,1850.3621,0.0000e+00,0.4281,0.723156
34,nilc__imageabilidade_mean,nilc,0.164899,3134.0796,0.0000e+00,-0.5247,0.722413
35,syll__media_silabas_por_sentenca,syllables,0.194482,522.8815,2.9292e-112,0.2442,0.718403
36,nilc__words_before_main_verb,nilc,0.173544,1620.5159,0.0000e+00,0.4052,0.713298
37,nilc__concretude_25_4_ratio,nilc,0.191661,2502.4345,0.0000e+00,0.4825,0.712884
38,nilc__concretude_mean,nilc,0.154188,2661.5584,0.0000e+00,-0.4939,0.712096
39,nilc__familiaridade_4_55_ratio,nilc,0.201890,1929.7774,0.0000e+00,0.4354,0.711220
40,nilc__abstract_nouns_ratio,nilc,0.193378,1882.8268,0.0000e+00,0.4311,0.707220
41,nilc__log_neg_conn_ratio,nilc,0.123335,526.0486,6.5904e-113,0.2449,0.706032
42,nilc__gunning_fox,nilc,0.134196,934.5758,1.5690e-194,0.3190,0.702837
43,nilc__words_per_sentence,nilc,0.173530,896.6659,4.1040e-187,0.3131,0.702283
44,nilc__yngve,nilc,0.127929,1724.3971,0.0000e+00,0.4158,0.699709
45,nilc__adjectives_max,nilc,0.186396,950.2718,1.3600e-197,0.3214,0.698681
46,nilc__indicative_condition_ratio,nilc,0.123197,1076.6478,4.6752e-222,0.3398,0.698472
47,nilc__idade_aquisicao_25_4_ratio,nilc,0.187838,1916.2366,0.0000e+00,-0.4342,0.696562
48,nilc__participle_verbs,nilc,0.177185,1437.1973,4.6584e-290,0.3852,0.696485
49,nilc__passive_ratio,nilc,0.158749,36.8375,1.3406e-09,0.0667,0.695506
50,nilc__verbal_time_moods_diversity,nilc,0.095905,1813.8671,0.0000e+00,0.4246,0.695053
