metric,n_human,n_llm,mean_human,mean_llm,median_human,median_llm,std_human,std_llm,diff_means,cohens_d,abs_cohens_d,p_value,higher_in,q_value_fdr
syllables_per_content_word,5391,5391,2.7148913745130776,3.0484151233537378,2.71717,3.0531,0.22193939985040562,0.14554308864987844,-0.33352374884066016,-1.7771841592319781,1.7771841592319781,0.0,llm,0.0
flesch,5391,5391,47.9116393081061,25.657849335930255,48.50713,25.22102,15.823077373804418,9.626813160229087,22.25378997217585,1.699195073232533,1.699195073232533,0.0,human,0.0
idade_aquisicao_mean,5391,5391,4.718819172695232,5.3163879094787605,4.73681,5.34235,0.4516605483991745,0.2766161875933694,-0.5975687367835283,-1.5956064254570461,1.5956064254570461,0.0,llm,0.0
honore,5391,5391,879.0764765201261,1240.6507563439066,863.97832,1211.93346,239.9876499671364,215.746457933484,-361.57427982378044,-1.5845373363776523,1.5845373363776523,0.0,llm,0.0
content_word_diversity,5391,5391,0.8002788091263217,0.8949147727694304,0.80851,0.89773,0.07955457379834595,0.03692930880495861,-0.09463596364310878,-1.5259197490573186,1.5259197490573186,0.0,llm,0.0
long_sentence_ratio,5391,5391,0.4797026692635875,0.7568862641439436,0.5,0.77778,0.21102020596552087,0.16826288603977443,-0.27718359488035604,-1.4524186275338986,1.4524186275338986,0.0,llm,0.0
imageabilidade_25_4_ratio,5391,5391,0.2850025208681135,0.4256672027453163,0.28125,0.42636,0.11096633299641775,0.08833288082900126,-0.14066468187720277,-1.4025773622205486,1.4025773622205486,0.0,llm,0.0
idade_aquisicao_55_7_ratio,5391,5391,0.2894509552958635,0.4069530124281209,0.28947,0.40845,0.09908981923444354,0.06622981494591092,-0.11750205713225736,-1.3942385514002615,1.3942385514002615,0.0,llm,0.0
punctuation_diversity,5391,5391,0.2621123279539974,0.11818858467816733,0.23529,0.10526,0.14261530841342404,0.057904713584528894,0.14392374327583007,1.322348204200071,1.322348204200071,0.0,human,0.0
idade_aquisicao_1_25_ratio,5391,5391,0.11998621962530144,0.05228086996846597,0.10909,0.04839,0.0675589807404843,0.027785019636827606,0.06770534965683547,1.3107533912047682,1.3107533912047682,0.0,human,0.0
imageabilidade_4_55_ratio,5391,5391,0.6591361769616026,0.5438498701539604,0.66038,0.54545,0.0991682786803352,0.07521875481981617,0.11528630680764229,1.3098937108519348,1.3098937108519348,0.0,human,0.0
short_sentence_ratio,5391,5391,0.3463814004822853,0.12319145984047486,0.33333,0.09091,0.2081874555599546,0.13158795756435132,0.2231899406418104,1.2815858189314757,1.2815858189314757,0.0,human,0.0
imageabilidade_mean,5391,5391,4.381159543683919,4.165421535893155,4.36381,4.14951,0.1997881309246916,0.1442998234211829,0.21573800779076358,1.2379763866439086,1.2379763866439086,0.0,human,0.0
words,5391,5391,175.06677796327213,327.7590428491931,147.0,322.0,124.85177702512966,122.06385232290287,-152.692264885921,-1.2367182515117348,1.2367182515117348,0.0,llm,0.0
infinite_subordinate_clauses,5391,5391,0.14623546651827118,0.2801635299573363,0.14815,0.28571,0.13037260254985264,0.0944491306580637,-0.1339280634390651,-1.176491367606362,1.176491367606362,0.0,llm,0.0
subordinate_clauses,5391,5391,0.294212435540716,0.4981713003153404,0.35,0.51667,0.21686534823589743,0.13090195830897716,-0.20395886477462438,-1.1386898047011895,1.1386898047011895,0.0,llm,0.0
ttr,5391,5391,0.7250868966796513,0.7806113225746615,0.73049,0.78131,0.06426970828990923,0.02634796416137284,-0.055524425895010165,-1.130469732573309,1.130469732573309,0.0,llm,0.0
concretude_mean,5391,5391,4.207834585420144,3.997661086996846,4.18893,3.9858,0.22256533287605215,0.14204877065072483,0.21017349842329835,1.1257332721138549,1.1257332721138549,0.0,human,0.0
familiaridade_55_7_ratio,5391,5391,0.23716176776108328,0.15936489705063997,0.23077,0.15493,0.08662324442794345,0.04718018468631565,0.0777968707104433,1.1153999184438803,1.1153999184438803,0.0,human,0.0
gerund_verbs,5391,5391,0.03622123724726396,0.09718408829530699,0.0,0.09524,0.05746006943189579,0.05241248855784602,-0.060962851048043026,-1.108531963898868,1.108531963898868,0.0,llm,0.0
