rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
PRON(*),0.09555355895671838,0.08163076793032341,0.07824280491803012,0.049301357409649645,0.013922791026394973,0.013922791026394973,4583,5196,9779,85.1225854383358,96.40074211502782,15243957.0,5.381682708350298e-06,0.21290861187433857,True,True,human
X(*),0.013302687224307134,0.005094924960851877,0.05381590856906953,0.023301033385628417,0.008207762263455258,0.008207762263455258,474,358,832,8.803863298662705,6.641929499072356,14868352.0,1.604345959446967e-06,0.19793289874380174,True,True,human
"VERB(PRON/nsubj, *)",0.01887764388823109,0.010700742986712208,0.044291247332210064,0.024670747353415293,0.008176900901518881,0.008176900901518881,1190,1133,2323,22.102526002971768,21.020408163265305,14987607.0,3.882273914975137e-05,0.2280902516500449,True,True,human
"NOUN(*, PRON/nmod:de)",0.010548070507762762,0.003688797353234193,0.03511632215779235,0.01531177336966263,0.0068592731545285696,0.0068592731545285696,609,359,968,11.311292719167906,6.6604823747680895,15238801.5,8.748631903179831e-20,0.25321433282500444,True,True,human
PUNCT(*),0.006813760854165829,0.0006189900607368425,0.03435815486353578,0.008395232355082624,0.006194770793428986,0.006194770793428986,269,39,308,4.9962852897474,0.7235621521335807,15132258.5,1.0916196380382863e-40,0.24769546436402404,True,True,human
"NOUN(*, ADV/nmod:de)",0.006257629014534312,0.0002171742304146889,0.03167851368976317,0.0043565306579067134,0.006040454784119623,0.006040454784119623,236,15,251,4.383358098068351,0.2782931354359926,15106828.0,1.7960638470446922e-45,0.2671476545465987,True,True,human
"PRON(*, PRON/ref)",0.014406999602349244,0.008426672306118021,0.035632549872021455,0.020821465012571046,0.005980327296231222,0.005980327296231222,1012,958,1970,18.796433878157504,17.773654916512058,14895075.0,0.00039995851753437187,0.20493002581577674,True,True,human
"VERB(*, NOUN/obl:em, VERB/conj:e)",0.008252115941449461,0.0039163020719269305,0.0342652377717616,0.01584198117833142,0.00433581386952253,0.00433581386952253,446,369,815,8.283803863298663,6.846011131725417,14759905.0,0.0007293240411660704,0.162430202079476,True,True,human
"VERB(PRON/nsubj, *, SYM/obl:a)",0.0037262026788774123,0.0,0.02141937938293481,0.0,0.0037262026788774123,0.0037262026788774123,186,0,186,3.4546805349182765,0.0,15011150.0,4.210062062256918e-43,0.24602236462639124,True,True,human
"VERB(*, VERB/conj:e, VERB/conj:e)",0.004651328091556814,0.0010144349111777407,0.024704056931272953,0.00900638237729425,0.003636893180379073,0.003636893180379073,235,76,311,4.364784546805349,1.4100185528756957,14942257.0,2.5796825747529046e-20,0.19560464996811744,True,True,human
"VERB(*, VERB/advcl:porque)",0.003967676069002939,0.000480012288903522,0.025621159321252023,0.0062937328173424305,0.0034876637800994167,0.0034876637800994167,171,35,206,3.176077265973254,0.6493506493506493,14878038.5,6.941652691529587e-22,0.18695103264769292,True,True,human
"VERB(*, NOUN/obl:de)",0.01994334784389536,0.01665212010317473,0.0417439300445674,0.02509968544552439,0.0032912277407206314,0.0032912277407206314,1569,2122,3691,29.141901931649333,39.36920222634508,13760501.0,4.092557767828346e-08,0.09555760461954467,True,True,human
"VERB(VERB/advcl:se, *)",0.0060945921390497225,0.0028482853305693188,0.029321360105962584,0.015007230133137444,0.0032463068084804037,0.0032463068084804037,314,228,542,5.832095096582466,4.230055658627087,14756399.0,5.528735260235422e-05,0.1393791700395467,True,True,human
"VERB(NOUN/obl:de, *)",0.005750833373005266,0.0025299428339387977,0.0269432790280797,0.01309740451724331,0.0032208905390664682,0.0032208905390664682,301,212,513,5.590638930163447,3.933209647495362,14766237.0,1.677587459308466e-05,0.152047057506315,True,True,human
"VERB(PRON/obj, *)",0.00609125529478883,0.003065315096424476,0.027789103549431232,0.01441541420554653,0.003025940198364354,0.003025940198364354,327,267,594,6.073551263001486,4.953617810760668,14692178.5,0.004301245264288759,0.13669536307522603,True,True,human
ADV(*),0.017421579533989186,0.014397401525274705,0.03795429605738686,0.025698705706657277,0.003024178008714481,0.003024178008714481,1255,1670,2925,23.309806835066865,30.98330241187384,13897794.0,1.287819163344835e-06,0.09330701090639369,True,True,human
"VERB(VERB/advcl:se, *, NOUN/obl:em, NOUN/obl:por, NOUN/obl:por, NOUN/obl:por, NOUN/obl:em)",0.002902623229089226,0.0,0.020219099596484682,0.0,0.002902623229089226,0.002902623229089226,129,0,129,2.3959881129271916,0.0,14857535.0,2.89465491648949e-30,0.20302235109177952,True,True,human
"VERB(*, NOUN/obl:por)",0.010936130470778153,0.008039698437066721,0.03429132265213444,0.019932606064366327,0.002896432033711432,0.002896432033711432,718,907,1625,13.335809806835067,16.827458256029686,14171941.0,0.0007727726751352219,0.10327278165943454,True,True,human
"VERB(*, PRON/obl:para)",0.0034713445073215822,0.0007062785783315067,0.02468591574518334,0.008115377934483607,0.0027650659289900755,0.0027650659289900755,141,47,188,2.6188707280832095,0.8719851576994434,14764746.5,3.3692939300370605e-12,0.15048283755791023,True,True,human
"NOUN(*, ADJ/nmod:de)",0.0025830010723286896,0.0001060552500053724,0.024687800506758173,0.0030414650931871014,0.002476945822323317,0.002476945822323317,80,7,87,1.485884101040119,0.12987012987012986,14706810.0,3.5488920358315395e-15,0.14082446479921312,True,True,human
"VERB(*, NOUN/obl:em)",0.03523870775183631,0.03296056884384886,0.043007424936945725,0.02809746332461307,0.002278138907987448,0.002278138907987448,3163,4163,7326,58.7481426448737,77.2356215213358,13724926.5,7.637047319469619e-07,0.06271432878130141,True,True,human
"VERB(*, VERB/conj:porém)",0.0021707430494844557,0.0,0.019489836844333742,0.0,0.0021707430494844557,0.0021707430494844557,80,0,80,1.485884101040119,0.0,14725480.0,2.6553849396047492e-19,0.15751256850056983,True,True,human
"VERB(NOUN/obl:a, *)",0.0033763646044866306,0.001325794647551915,0.022143794296869707,0.009582894263024552,0.002050569956934716,0.002050569956934716,161,113,274,2.9903417533432393,2.0964749536178107,14644754.5,0.0021853835296730515,0.12018800821566852,True,True,human
